disaster_id,disaster_state,disaster_county,disaster_state_code,disaster_county_code,disaster_declaration,disaster_name,disaster_type,disaster_date,disaster_fips_code
DR-209-FL,FL,Broward (County),12,011,DR,HURRICANE BETSY,Hurricane,1965-09-14T04:00:00.000Z,12011
DR-209-FL,FL,St. Lucie (County),12,111,DR,HURRICANE BETSY,Hurricane,1965-09-14T04:00:00.000Z,12111
DR-209-FL,FL,Palm Beach (County),12,099,DR,HURRICANE BETSY,Hurricane,1965-09-14T04:00:00.000Z,12099
DR-209-FL,FL,Martin (County),12,085,DR,HURRICANE BETSY,Hurricane,1965-09-14T04:00:00.000Z,12085
DR-209-FL,FL,Glades (County),12,043,DR,HURRICANE BETSY,Hurricane,1965-09-14T04:00:00.000Z,12043
DR-209-FL,FL,Dade (County),12,086,DR,HURRICANE BETSY,Hurricane,1965-09-14T04:00:00.000Z,12086
DR-209-FL,FL,Lee (County),12,071,DR,HURRICANE BETSY,Hurricane,1965-09-14T04:00:00.000Z,12071
DR-209-FL,FL,Collier (County),12,021,DR,HURRICANE BETSY,Hurricane,1965-09-14T04:00:00.000Z,12021
DR-209-FL,FL,Hendry (County),12,051,DR,HURRICANE BETSY,Hurricane,1965-09-14T04:00:00.000Z,12051
DR-209-FL,FL,Monroe (County),12,087,DR,HURRICANE BETSY,Hurricane,1965-09-14T04:00:00.000Z,12087
DR-252-FL,FL,Marion (County),12,083,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12083
DR-252-FL,FL,Charlotte (County),12,015,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12015
DR-252-FL,FL,Pinellas (County),12,103,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12103
DR-252-FL,FL,Duval (County),12,031,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12031
DR-252-FL,FL,Citrus (County),12,017,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12017
DR-252-FL,FL,Hernando (County),12,053,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12053
DR-252-FL,FL,St. Johns (County),12,109,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12109
DR-252-FL,FL,Pasco (County),12,101,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12101
DR-252-FL,FL,Sarasota (County),12,115,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12115
DR-252-FL,FL,Hillsborough (County),12,057,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12057
DR-252-FL,FL,Manatee (County),12,081,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12081
DR-252-FL,FL,Putnam (County),12,107,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12107
DR-252-FL,FL,Lee (County),12,071,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12071
DR-252-FL,FL,Sumter (County),12,119,DR,HURRICANE GLADYS,Hurricane,1968-11-07T05:00:00.000Z,12119
DR-289-FL,FL,Escambia (County),12,033,DR,HEAVY RAINS & FLOODING,Flood,1970-07-03T04:00:00.000Z,12033
DR-289-FL,FL,Santa Rosa (County),12,113,DR,HEAVY RAINS & FLOODING,Flood,1970-07-03T04:00:00.000Z,12113
DR-289-FL,FL,Okaloosa (County),12,091,DR,HEAVY RAINS & FLOODING,Flood,1970-07-03T04:00:00.000Z,12091
DR-304-FL,FL,Broward (County),12,011,DR,FREEZE,Freezing,1971-03-15T05:00:00.000Z,12011
DR-304-FL,FL,Dade (County),12,086,DR,FREEZE,Freezing,1971-03-15T05:00:00.000Z,12086
DR-304-FL,FL,Palm Beach (County),12,099,DR,FREEZE,Freezing,1971-03-15T05:00:00.000Z,12099
DR-304-FL,FL,Collier (County),12,021,DR,FREEZE,Freezing,1971-03-15T05:00:00.000Z,12021
DR-304-FL,FL,Lee (County),12,071,DR,FREEZE,Freezing,1971-03-15T05:00:00.000Z,12071
DR-304-FL,FL,Hendry (County),12,051,DR,FREEZE,Freezing,1971-03-15T05:00:00.000Z,12051
DR-337-FL,FL,Hendry (County),12,051,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12051
DR-337-FL,FL,Pinellas (County),12,103,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12103
DR-337-FL,FL,Sarasota (County),12,115,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12115
DR-337-FL,FL,Wakulla (County),12,129,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12129
DR-337-FL,FL,Okeechobee (County),12,093,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12093
DR-337-FL,FL,Levy (County),12,075,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12075
DR-337-FL,FL,Brevard (County),12,009,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12009
DR-337-FL,FL,Franklin (County),12,037,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12037
DR-337-FL,FL,Pasco (County),12,101,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12101
DR-337-FL,FL,Dixie (County),12,029,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12029
DR-337-FL,FL,Lee (County),12,071,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12071
DR-337-FL,FL,Hillsborough (County),12,057,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12057
DR-337-FL,FL,Monroe (County),12,087,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12087
DR-337-FL,FL,Manatee (County),12,081,DR,TROPICAL STORM AGNES,Coastal Storm,1972-06-23T04:00:00.000Z,12081
DR-387-FL,FL,Dixie (County),12,029,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12029
DR-387-FL,FL,Jefferson (County),12,065,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12065
DR-387-FL,FL,Nassau (County),12,089,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12089
DR-387-FL,FL,Wakulla (County),12,129,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12129
DR-387-FL,FL,Leon (County),12,073,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12073
DR-387-FL,FL,Columbia (County),12,023,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12023
DR-387-FL,FL,Hamilton (County),12,047,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12047
DR-387-FL,FL,Madison (County),12,079,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12079
DR-387-FL,FL,Suwannee (County),12,121,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12121
DR-387-FL,FL,Levy (County),12,075,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12075
DR-387-FL,FL,Baker (County),12,003,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12003
DR-387-FL,FL,Gilchrist (County),12,041,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12041
DR-387-FL,FL,Lafayette (County),12,067,DR,SEVERE STORMS & FLOODING,Flood,1973-05-26T04:00:00.000Z,12067
DR-479-FL,FL,Wakulla (County),12,129,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12129
DR-479-FL,FL,Washington (County),12,133,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12133
DR-479-FL,FL,Okaloosa (County),12,091,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12091
DR-479-FL,FL,Bay (County),12,005,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12005
DR-479-FL,FL,Walton (County),12,131,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12131
DR-479-FL,FL,Holmes (County),12,059,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12059
DR-479-FL,FL,Gulf (County),12,045,DR,FLOODING,Flood,1975-08-22T04:00:00.000Z,12045
